clean_description,true_id,true_country,predicted_id,predicted_country,confidence,true_class_probability,correct
smoky wine with black currant flavor that bring together spice and fruitiness the wine have light touch licorice and stalky tannin end with attractive juiciness ready drink,27,Portugal,11,France,0.9999987,1.0928879e-06,False
dominate the local loin oeil grape this wood aged wine have flavor pear spice and attractive light vanilla acidity and delicious tasty structure give complexity this wine that could certainly age drink now although will well from 2016,11,France,27,Portugal,0.9999976,2.3185783e-06,False
fulsome note ripe juicy pear lead straight fluid concentrated palate that hold whole world ripe pear flavor this still deep its shell ringing with primary fruit but bury many layer spice joy think marzipan and gingerbread this one for lay down that will reward patient drinker the deep core fruit the concentration the midpalate and the ultraclean finish all suggest great future drink 2018 2028,11,France,2,Austria,0.9999976,1.4950448e-06,False
light medium body this silky textured pinot that show some understate cherry fruit and fair bit mushroom and decay leave mocha and cinnamon mark the finish,1,Australia,25,New Zealand,0.9999975,1.6881725e-06,False
clean minerally and smell tarragon fresh bell pepper and lemony citrus feel lively with pink grapefruit passion fruit lime and generic sweetness for flavor lip smack wine that varietally accurate verdejo and,32,Spain,6,Chile,0.9999975,1.1447839e-06,False
cut lemon lime and tangerine flavor lend pucker refreshment this light body dry riesling lean style but invigorate and fresh hint zest add bite linger finish drink now through 2020,35,US,13,Germany,0.9999974,2.680476e-06,False
make from blend every local red grape imaginable this serious impressive wine its aroma and flavor conjure the wild mountain scenery around the vineyard give black fruit dense tannin and acidity the spice the end another reminder its origin drink from 2017,11,France,27,Portugal,0.99999726,2.3866212e-06,False
this 100 varietal cuv smoky supple and detail from the first sniff what come mind spice rub grill venison the glass fresh and full with blackberry and loganberry jam the freshness tension and balance pitch perfect,5,Canada,35,US,0.999997,1.2754806e-06,False
hint lemongrass lend complexity fresh lime lemon and green plum this revitalizing dry riesling light feather texture yet concentrate flavor crush mineral tone linger the finish drink now through 2020,35,US,13,Germany,0.9999969,3.1527404e-06,False
yogev mean tiller the soil friendly and easy pleasing wine with direct note cherry skin fresh cassis and black currant leaf medium weight with moderate acidity fine tannin and clean fruit drive finish drink now,17,Israel,31,South Africa,0.9999969,1.1115235e-06,False
obtuse aroma chunky citrus fruit and mild smell vegetable open this merlot ros fat feel with just enough acidic offset this taste pithy citrus with green note throw grabby blocky finish taste mildly briny,32,Spain,6,Chile,0.9999968,2.944818e-06,False
notion tart redcurrant play the nose while delicious edge white pepper draw you the same pepper entice the palate frame fresh tart berry and lemon purity the slender but memorable palate firm structure make this spicy energetic and invigorate little number irresistible the fine mousse have verve and elegance finish pure and long,10,England,2,Austria,0.99999654,3.0993972e-06,False
the nose just hint earth and autumnal oak leaf the palate come with slight grip very fine tannin and more earthy leafy aromas red cherry fruit just hint this slender and bone dry and will come into its own when serve with subtle mushroom game dish,11,France,2,Austria,0.99999654,7.579943e-07,False
the second two sweet wine produce marc labat rousse this certainly have honey character with flavor dry fruit dancing acidity and fruity aftertaste great aperitif,11,France,27,Portugal,0.99999654,3.2667858e-06,False
dark colored blend grette and syrah this concentrated and perfume wine from philip grant irishman who buy the estate 2008 full ripe plum fruit and bold tannin that give shape what super rich wine the wood aging have cast smooth patina over the fruit and give extra complexity this fine wine ready drink,11,France,27,Portugal,0.9999964,3.4127456e-06,False
strike lime cut through rich honey and tangerine flavor this dry revitalizing riesle hint smoke nuts pollen and dusty mineral lend savory complexity the midpalate but the finish pristine and perfume linger lovely honeysuckle note,35,US,13,Germany,0.9999963,3.6799995e-06,False
raspberry and strawberry aroma suggest fruit punch this feel stocky and sticky due low acidity flavor plum and berry come with buttery oak note while this short and hollow the finish,6,Chile,32,Spain,0.9999963,2.121432e-06,False
rubbery slightly gritty aroma olive and balsamic berry fruit solid and introduce well balanced palate loamy berry and baked plum flavor ripe and solid overall this deliver authentic taste modern argentina while not veer away from what familiar drink through 2020,0,Argentina,32,Spain,0.9999963,1.6501338e-06,False
source from grape grow the chalonnaise this soft red fruit flavor wine with ripe jammy character that make almost sweet ready drink,11,France,27,Portugal,0.9999962,3.5408368e-06,False
amber gold the glass this ribolla gialla have aroma wet river rock vanilla bean and honeycomb have luscious mouthfeel with pronounce minerality and flavor apricot apple and ripe pear,30,Slovenia,15,Hungary,0.99999607,1.9352905e-07,False
aromatically this bulgarian riesling quite pretty with load freshly press apple elderflower and meyer lemon scent light bodied and dry with racy acidity its palate austere but have some mute floral and honeydew flavor,4,Bulgaria,35,US,0.9999956,3.8760312e-08,False
cool aroma cola blackberry and earth come with cedary oak the mouth this blend three vineyard abruptly tannic actually choppy and hard plum and raspberry taste dry and toasty before grating finish drink through 2023,0,Argentina,32,Spain,0.99999535,3.742913e-06,False
rich and concentrate this wine show the firm tannin gevrey chambertin ripe berry fruit and beautiful acidity contrast with this structure the fresh aftertaste with its flavor raspberry and dark cherry will very fine drink from 2018,11,France,27,Portugal,0.99999523,4.641917e-06,False
saucy earthy berry aroma full oak and clove note this wine feel full but not too heavy with solid overall balance blackberry dark plum toast and spicy oak flavor finish peppery and stout with ripe chewy tannin drink through 2022,0,Argentina,32,Spain,0.9999949,3.823145e-06,False
sharp punchy aroma citrus green herb and celery lead tight drawing palate this taste feline bitter and bit like passion fruit pyrazine base green flavor thyme and scallion drive the finish,32,Spain,6,Chile,0.9999949,4.7096896e-06,False
brambly and stalky berry fruit aroma come with citrus and leafy accent the palate sheer and tannic with candy spice red fruit flavor heat and burning acidity make the finish rather rough,37,Uruguay,32,Spain,0.9999944,3.2457598e-07,False
tropical and citrus fruit complement each other this soft and fruity wine have some richness and tangy texture orange peel which give balanced character drink now although the wine will well 2016,27,Portugal,11,France,0.9999943,5.468102e-06,False
elegant and stylish this wine showcase texture much fruit wood age ripe apple and apricot flavor and fine acidity all come together balanced whole the use the wood exemplary accent the wine mineral texture fruit and acidity age this fine wine and drink from 2017,11,France,27,Portugal,0.99999404,5.8978294e-06,False
gritty herbal aroma generic berry don exactly draw you the palate this rudimentary cab rather weak structure with herbal slightly salty flavor dry generic berry fruit,6,Chile,0,Argentina,0.9999938,2.9882667e-06,False
scent licorice root bramble and soft menthol note grace this balanced shiraz black cherry raspberry and boysenberry fruit this medium weight with moderate tannin and approachable structure note roasted espresso bean and hint chicory carry through the long finish mevushal,17,Israel,31,South Africa,0.99999344,5.064004e-07,False
high tone red cherry fruit aroma this bold full bodied croatian pinot transition nicely deeply concentrated black fruit palate sprinkle with cocoa and vanilla note the texture lush overall but grape tannin feel harsh and grippy the finish,7,Croatia,35,US,0.9999933,3.6480805e-07,False
ripe dusty fruit dominate this structured wine have concentration and dark tannin that come from the wood age flavor black plum skin blackberry and juicy acidity all show strongly for age drink from 2016,2,Austria,27,Portugal,0.9999931,2.323354e-09,False
clean and minerally the nose but not very aromatic exciting the palate fresh and tangy with orange lemon green apple and mild spice flavor the long the wine sit the more its acidity and raciness take over crisp and bone dry,6,Chile,32,Spain,0.9999926,3.874915e-06,False
this big powerful and tannic wine show dry character that dominate the black currant and berry note the old wood flavor seem out sync with the rest the palate,11,France,27,Portugal,0.99999225,7.692293e-06,False
warm dusty oaky aroma come prior citric palate that high acidity and thus austere salty citrus flavor monotone and fail alter path salty woody finish,32,Spain,0,Argentina,0.99999213,1.7698221e-07,False
make from organically farm vineyard with native yeast and old barrel this wine melt pot bright cranberry and raspberry smoke toast floral and sweet herb medium body with silky tannin and plenty terroir expression well price boot win all around,1,Australia,35,US,0.9999919,2.9426266e-07,False
interesting blend carignan shiraz petit verdot petite sirah and viognier this delightful red that offer ton complexity and character black plum cherry and currant fruit flavor integrate with herbal note sandalwood cigar spice and licorice root round and full but structure with grip tannin and balanced acidity and everything carry through the long finish drink now through 2014,17,Israel,31,South Africa,0.9999914,5.9888744e-06,False
cave spring rock riesle and this off dry version sexy and mineral drench perfect mix sweet and tangy the citrus and tree fruit dense with complex phenolic highlight that add wine that textural full bodied and long,5,Canada,35,US,0.9999914,5.055567e-06,False
firm strike lime lemon and crush mineral contrast buoyant peach and even guava note this bright fruity riesle dry style finish refreshingly crisp with just hint linger bramble,35,US,13,Germany,0.9999913,8.652927e-06,False
stalky and sweet smelling this have aroma beet and rhubarb pie the palate offer weight depth and firm feel with sweet berry flavor that come with herb and mint accent warm the finish with length,32,Spain,6,Chile,0.99999046,3.6442816e-06,False
plum red berry cinnamon and mint aroma give this savory style red from lebanon serious start soft and elegant the palate but with touch spice and lively acid the wine balance and unfold and will pair well with dish that offer complex spice interesting red with exotic appeal,19,Lebanon,14,Greece,0.99999034,9.659018e-09,False
this characteristic blend braucol dura syrah and cabernet sauvignon light soft and fruity with red berry flavor ready drink with its rounded smooth aftertaste braucol the local patois name for fer servadou,11,France,27,Portugal,0.99999,8.041855e-06,False
tan color with dry lightly oxidize aroma well note white pepper and peach pit this white pinot noir low fruit and feel tight acidic and raw tart apple and sour lemon flavor include note fino sherry while this close with steady beam sharp acidity,0,Argentina,32,Spain,0.99999,4.1309377e-07,False
the wine have tannic edge that suggest still young underneath there some attractive red berry fruit and acidity just need few more month fill out drink from 2017,11,France,27,Portugal,0.9999895,1.0483542e-05,False
this lebanese white start with aroma honey peach and lemon offering like flavor viscous blend the palate some spice offer lift but overall the wine have rich character pretty unfold finish,19,Lebanon,14,Greece,0.9999893,9.622801e-07,False
this have aroma citrus blossom and lemon pith there flavor green apple and pear the mouth with acidic finish,36,Ukraine,15,Hungary,0.99998856,6.01913e-06,False
with firm tannin ally smooth wood flavor this young wine develop its fruitiness over the next year have ripe body black fruit the back wait come forward wait drink until 2016,11,France,27,Portugal,0.99998796,1.1773609e-05,False
rock solid and dense with aroma black cherry and cassis along with whiff aged cheese the palate tight tannic and rubbery with grabby black cherry and blackberry flavor along with toasty dark shading finish firm with touch black olive and herb the good date drink now through 2017,32,Spain,6,Chile,0.9999875,9.156245e-06,False
slender and lemony this dry zesty riesle grapefruit rind form the central theme support green apple and mandarin peel lead straight into linear taut finish this very clean and beautifully streamline,11,France,2,Austria,0.99998724,1.0590033e-05,False
appear deeply ruby red the eye this semi sweet wine offer aroma black cherry freshly grind black pepper and vanilla bean there interesting touch coolness amid fruit flavor especially blueberry and blackberry with note custard caramel and mediterranean herb smooth tannin and hint mint make for pleasing finish,12,Georgia,17,Israel,0.9999871,8.9711455e-07,False
inky violet red the eye this wine make native turkish variety offer beautiful combination fruit and spice flavor that only hint aroma black cherry talc and violet harmonious flavor cassis blackberry jam anisette vanilla bean and coffee roll the tongue among silky tannin through finish that feature lasting sense black cherry and anise,34,Turkey,17,Israel,0.99998665,1.1877557e-06,False
jumpy cherry and plum aroma fresh and direct this have wiry grabby palate with raspberry and spice plum flavor rubbery tannin edgy acidity and reedy red berry flavor create intense but rough ending,0,Argentina,32,Spain,0.9999858,1.3934043e-06,False
nelson neve have make rich wine recognizably portuguese its tannic structure while also have jammy juicy red fruit character that come from the merlot this ripe wine ready drink,27,Portugal,11,France,0.99998534,1.4094126e-05,False
bright ripe red plum predominate this wine that taste very young intensely fruity and veer towards dryness rich and juicy still develop its mature velvet character should lose some its primary fruit and become more balanced wait until 2016,27,Portugal,11,France,0.9999846,1.4613789e-05,False
solid berry aroma blend with note mild herb mocha and sweet oak the palate have good structure and feel with creamy oaky flavor blackberry cassis and vanilla dry compose and medium long the finish with freshness due healthy acid contain malbec and petit verdot,6,Chile,0,Argentina,0.99998426,8.275861e-07,False
jammy berry aroma slightly exotic the palate have wide yet acidic feel that lack depth and structure blocky flavor plum and berry tangy and simple while the finish fail evolve past chunky and static,6,Chile,32,Spain,0.99998355,1.5651489e-05,False
this soft fruity wine cut with bright green fruit fresh apple acidity and lemon immediately attractive clean and fragrant wine with pure line acidity right the heart its refreshing nature,2,Austria,11,France,0.99998355,8.7215693e-07,False
bright and fruity this wine citrusy while also suggest ripe white fruit flavor have fine tang lime zest that give underlie cool green character this attractive wine,27,Portugal,11,France,0.9999833,1.4625984e-05,False
green herbaceous wine that have some concentration from the old vine the blend have grapefruit intense acidity and fresh crisp aftertaste drink now,27,Portugal,11,France,0.9999826,1.5995096e-05,False
what deep supple flavor this soft delicious wine the grape obviously have trouble ripen and offer wave blackberry plum and black currant not mention spice like fennel and pepper very dry and fancy this wine could sit the good table and not hang its head good buy,6,Chile,35,US,0.9999826,3.0228346e-08,False
fruity and aromatic this blend fern pire arinto and sauvignon blanc fresh with attractive acidity and also riper tropical fruit and pear flavor have mineral texture that give the fine structure drink now,27,Portugal,11,France,0.99998236,1.5215304e-05,False
heavy aroma raisin oak and chocolate copy the palate that taste oak vanilla and raisiny fruit have woody finish,32,Spain,0,Argentina,0.99998164,2.4801193e-06,False
year after year this syrah lead blend excel this version bright clean and polished cherry and plum aroma racy with distinct minerality flavor chocolate leafy spice earth and berry fruit finish with final blast vital berry flavor before fade long pleasurable fashion drink through 2020,6,Chile,32,Spain,0.9999815,5.977574e-06,False
while intensely floral from nose finish this subtly nuanced riesling have more savory side well offset stark lemon tangerine and lime flavor against wet stone and clay ethereal and light the palate but finish boldly with linger murmur astringency,35,US,13,Germany,0.9999814,1.8252253e-05,False
delicate aroma toasted egg bread bake apple and orange rind dance the bouquet while the brisk and effervescent mouth show more red apple skin flavor alongside acidic note pineapple core and lime zest balanced and refresh,17,Israel,31,South Africa,0.99998105,1.2224623e-05,False
perfumed ripe wine attractively flavor with citrus peach and melon this wine for drink young warm day wine ritif the crisp structure add its mouthwatering character,27,Portugal,11,France,0.9999808,1.22969395e-05,False
unique for argentina this type blend which tempranillo and malbec the nose this mature wine heady earthy and rooty nature with raisiny richness lurking the background the palate full and gritty with grabby tannin flavor earthy bake berry and tomato sauce finish short inidication that this ready drink now,0,Argentina,32,Spain,0.9999789,1.737681e-05,False
vibrant aroma red berry vanilla and spice give this cabernet from bulgaria energetic start soft mouthfilling style dry red with flavor pepper leather and vanilla the wine have style and substance but not overly complicated good red for hearty dish,4,Bulgaria,14,Greece,0.99997866,6.616694e-09,False
extract grapy aroma suggest raisin and prune but this wine not overtly overripe the mouth grabby and bit raisiny rich heady flavor mocha fig and prune finish with chunky weight drink through 2020,0,Argentina,32,Spain,0.9999778,2.115081e-05,False
the nose seem close there just hint earthiness the slender palate have edge mocha and smoke that frame its fresh crisp tart red cherry fruit the body light but hold within very fine boned structure that lead dry clean finish,11,France,2,Austria,0.9999753,2.3249975e-05,False
this wine start with combination white flower spice tropical fruit and green note with dry crisp flavor citrus and mineral the palate good wine for fan more angular white the wine will pair well with spicy asian cuisine grill spicy fish chicken,31,South Africa,14,Greece,0.9999752,2.4589814e-05,False
yes there some elegance here well rich fruit and sweet perfume juiciness attractively fruity uncomplex screwcap,27,Portugal,2,Austria,0.9999739,5.485657e-07,False
this big and ripe wine with dense blackberry fruit concentrate and still young the firm tannin under its bold fruitiness still need soften give rich and fruity wine drink from 2019,11,France,27,Portugal,0.99997354,2.6507372e-05,False
wiry withdraw plum aroma touch floral jagged palate feel with high acidity and hard tannin frame plum flavor this bullish overall and bit fiery and hot the finish,32,Spain,0,Argentina,0.9999732,2.320664e-05,False
after the hot and heavy 2009 anka this spicy dry fresh version welcome lightly leafy aroma plum berry fruit brick dust and tobacco feed into crisp direct palate with cherry plum and integrated spicy flavor last acidity create touch scour the finish drink through 2019,6,Chile,32,Spain,0.9999728,1.5014324e-05,False
fine and ripe wine with touch black currant and more flourish red berry flavor structure although that doesn remove its immediate drinkability the aftertaste soft just off dry,11,France,27,Portugal,0.99997175,2.8218841e-05,False
unique wine with proprietary elqui imprint this smell balsamic and tomatoey with rooty earthy undercurrent feel grabby and full bodied with tomato boysenberry and green tobacco flavor hold onto that ashy tobacco character the full force finish,6,Chile,32,Spain,0.99997056,1.09095845e-05,False
this wine rich full and densely concentrate with wood age not far away still toasty offer weighty ripe fruit that show great potential this impressive wine produce the joint venture between the symington family and bordeaux consultant bruno prat drink from 2020,27,Portugal,11,France,0.99997056,2.8871747e-05,False
jammy soft and juicy this cabernet sauvignon taste almost like california field blend but that not bad not particularly varietally focus easy very drinkable kind cab jolais that can work bar pour party wine,6,Chile,35,US,0.9999703,2.657517e-07,False
oaky tone vanilla bean wood and sweet spice the fore the bouquet while note black cherry stew plum and raspberry coulis provide solid backbone throughout the mouthfeel smooth and supple with easy approachable ripe fruit flavor and linger hit bake spice,11,France,31,South Africa,0.9999697,2.150011e-05,False
strong rich and extract fruit concentrate around firm tannic core the wine have fruit black currant and dark plum that give more juicy side drink this still young wine from 2016,11,France,27,Portugal,0.9999695,2.9245663e-05,False
the wine have dark crusty top the nose with solid berry aroma under that the palate bright zesty and feature familiar plum and black cherry flavor and the finish straightforward but smooth stylish with little snap crackle and pop,0,Argentina,32,Spain,0.99996936,3.0502936e-06,False
oculus merlot with cabernet sauvignon and cabernet franc finish the blend with mission hill other high end red blend almost jet black hue with scent smoke and char around blackberry and black cherry fruit chocolate and espresso flavor come through strongly and the tannin quite dry style ready make for thick juicy steak,5,Canada,35,US,0.99996924,1.6909244e-05,False
this wine have bouquet raspberry tart cherry and menthol medley fruit and cool herb flavor particular black cherry cassis mint and menthol with hint juniper berry fill the mouth tannin smooth and soft and the bright finish mark with touch menthol,24,Morocco,17,Israel,0.9999689,5.639778e-07,False
rich ripe blackberry cassis and leathery aroma full stately and fitting for this lush layered tannic offering from viu manent top malbec vineyard toasty flavor blackberry black currant herb and chocolate finish chewy beefy and full with hint resiny oak drink through 2020,6,Chile,0,Argentina,0.9999689,2.9443949e-05,False
from the hill the dordogne region this fruity wine have rustic barnyard edge that spoil what otherwise fresh crisp wine drink now,11,France,27,Portugal,0.9999683,3.1285803e-05,False
fine ripe wine fully structure with its tannin support delicious red fruit have concentration and generous feel show warmth well strong line acidity the wine finish with spice fruit and tannin the background,27,Portugal,11,France,0.99996805,2.0977564e-05,False
this structured and dense wine have fine contrast between the ripe red fruit the mineral tannin and acidity from the company vineyard the wine balance and worth age drink from 2017,27,Portugal,11,France,0.9999676,6.7099977e-06,False
black cherry and violet aromas control what amount compact straightforward bouquet feel flush and ripe with friendly tannin and range dark fruit flavor that lead warm finish with molasse like richness very nice cabernet drink now through 2014,6,Chile,32,Spain,0.99996746,2.8356558e-06,False
this wine have juicy black currant character that bright with just the right amount balanced sweetness more fruity than rich and pack welcome balance final acidity,27,Portugal,11,France,0.99996746,2.84296e-05,False
for cab franc this super ripe with floral perfumed earthy aroma cassis and wild berry blend with pastry and vanilla the mouth big but balanced with loamy slightly salty flavor baked black fruit lasting ripe fruit character carry onto the finish,0,Argentina,6,Chile,0.99996734,1.4134077e-05,False
the most recent palliser great dog release the 2014 ted full bodied muscular wine cola cinnamon and thyme notes mark the nose while the flavor feature dark cherry and plum draw linger close with echo mocha and mexican chocolate drink 2020 2028,25,New Zealand,1,Australia,0.9999666,2.9491866e-06,False
earthy aroma raisin and plum bury under heavy oak this cabernet sauvignon and bouchet and feel raw woody and resiny barrel base aroma vanilla and wood front center and dominant while this remain highly barrel drive the finish,0,Argentina,6,Chile,0.99996626,1.525844e-06,False
reserve level merlot this blend with cabernet franc and syrah then barrel aged for month new one and two year old french oak barrel oaky smoky char and tannic bit bruiser but dig down and you find cassis black cherry coffee cola licorice and tar short compelling range dark flavor all well integrate drink soon,5,Canada,35,US,0.99996614,6.2377086e-07,False
slightly heady volatile touch play the nose the palate fresh with lemon and but also have round buttery note its concentrated yet light body very intriguing dry riesling that still need come into its own its dry lightness boon drink 2020 2025,11,France,2,Austria,0.9999659,6.572464e-06,False
cloudy with touch reduction the nose this wine open with heady perfume rose kirsch and crush strawberry tight and lively the palate fresh acidity remain highly aromatic the glass,35,US,2,Austria,0.9999645,1.7184764e-05,False
the wine have all the classic structure and mineral tension give both richness and dark dry tannin that need several year soften the same time juicy black currant fruit give fresh side this complex concentrated wine drink from 2016,27,Portugal,11,France,0.9999641,3.3084743e-05,False
slightly grassy character this wine show green pepper and tight tannin well black berry fruit balance this the fruit very much the front the wood and tannin behind drink now,2,Austria,11,France,0.9999627,1.0231498e-06,False
quilceda make big muscular cabernet but the power tightly control and never out whack firm cherry fruit edge with mixed spice from barrel aging still young and hard this tannic wine that clearly have the stuffing and structure age indefinitely but drunk now will require many hour breathing time editor choice,35,US,11,France,0.99996257,1.0290352e-05,False
this herbaceous wine have grassy character that crispen with gooseberry and lemon grass flavor bright and very fresh ready drink now,27,Portugal,11,France,0.99996233,5.4867683e-06,False
spine tingling acidity and sharp lemon and lime flavor mark this zesty dry trebbiano crisp green apple and nectarine note fill out the midpalate bit the finish brisk and clean,35,US,13,Germany,0.99996233,3.699303e-05,False
this dense wine from the perescuma estate the southeast alentejo take while mature the moment tannin dominate the potential the black fruit oak aging have give this wine extra depth fine wine but need time drink from 2018,27,Portugal,11,France,0.99996233,3.6557514e-05,False
distinct aromatic notion rose petal perfume the nose the palate more keep with pinot blanc more restrained nature but light fresh and appetizing,11,France,2,Austria,0.9999621,2.8477585e-05,False
the cherry fruit this light style wine show definite herb accent bright acidity and touch mint come out the palate and finish with tart fruit flavor and slightly prickly tannin,18,Italy,35,US,0.9999609,1.8111837e-06,False
velvety texture and full weight with moderate tannic presence this wine powerful while remain immediately approachable black cherry blueberry menthol and iris aromas lead into the palate stew red berry pepper and eucalyptus leave linger finish muted thin mint close beautifully,11,France,17,Israel,0.99995935,3.137297e-07,False
green and funky smelling with grassy tomato character sticky and unctuous the palate with strange weedy set red fruit flavor finish creamy and weak barely acceptable but still not fresh well balanced,6,Chile,0,Argentina,0.9999572,3.7357631e-06,False
this easy drinking faug with lively accent thyme and crush purple floral the ripe red fruit core the mouth vibrant and mouthwatere with strong acidity and clean but somewhat tart finish drink now,11,France,31,South Africa,0.9999567,4.0694667e-05,False
fruity wine with stalky red fruit character have firm layer toast and spice that dominant this stage and need calm down when they will wine that full bright fruit and final acidity,27,Portugal,11,France,0.9999565,1.1389412e-05,False
hugely rich this ferment egg shape cuve that have give impressively rounded character wine still young the tannin opulent let the black fruit speak powerfully still wine age drink after 2019,11,France,27,Portugal,0.9999546,4.524702e-05,False
delicate swathe honey brighten savory chestnut smoke and mineral tone throughout this feather light dry riesle earthy slightly dark expression riesle with electric acidity accent hint spice and dusty pollen the finish long and intently smoky,35,US,13,Germany,0.99995434,4.514615e-05,False
first this smell gaseous and rubbery but airing reveal ripe blackberry aromas graphite and warmth the mouth this menc jammy and woody flavor resiny salty black fruit chunky while barrel influence carry onto the finish which taste hickory mixed spice and cassis drink through 2017,32,Spain,6,Chile,0.99995387,2.3058672e-05,False
approachable and stately aroma toast bacon and reduced berry get the right direction while blueberry and cassis flavor control the palate this rip yet stylish wine with texture and chewy integrate tannin congratulation montgra and chief consultant paul hobbs for make serious cabernet with malbec that most folk can actually afford,6,Chile,0,Argentina,0.9999534,7.023024e-06,False
this blend chardonnay viognier and sauvignon blanc offer good concentration and ample richness with pure yet powerful aroma and flavor wood grill apple peach pit beeswax and yellow melon rind accent toast challah and press yellow flower add depth the bouquet while finish touch orange oil and sweet spice unfold the round lush finish drink now 2018,11,France,31,South Africa,0.99995327,3.9199902e-05,False
this blend chardonnay viognier and sauvignon blanc offer good concentration and ample richness with pure yet powerful aroma and flavor wood grill apple peach pit beeswax and yellow melon rind accent toast challah and press yellow flower add depth the bouquet while finish touch orange oil and sweet spice unfold the round lush finish drink now 2018,11,France,31,South Africa,0.99995327,3.9199902e-05,False
rich but structured and balance this wine that have delicious swathe ripe blackberry and black plum there touch bitter extract but this will integrate the wine age the acidity well with the solid tannin drink from 2016,27,Portugal,11,France,0.99995315,3.709949e-05,False
herbal wine rather green character and miss fruitiness structure and cherry fruit there but lose this green stalky character,27,Portugal,11,France,0.99995303,3.913643e-05,False
soft lift pine and lime peel note make for refreshing opening the palate seem less focused and bit confected but slender and fresh nonetheless drink soon,11,France,2,Austria,0.99995303,2.6156402e-05,False
the fern pire that give this wine its class and freshness the sauvignon blanc the blend with its herbaceous character seem clash the wine crisp with lemon flavor and bring intense final acidity,27,Portugal,11,France,0.9999529,4.661117e-05,False
despite show rubbery edge with intitial shot vinegar the nose evolve deliver berry and plum aroma front choppy feeling palate oak campfire and rubbery note sit top modest berry flavor while the finish oaky but fresh feel,6,Chile,32,Spain,0.99995196,3.1510885e-05,False
rich and juicy this have tannin and wood age flavor that already well integrate into the ripe jammy berry fruit the wine still young although can drunk now well wait until 2017,11,France,27,Portugal,0.9999515,4.8532725e-05,False
upfront strawberry flavor wine this ripe and immediately fruity there enough tannin hold the palate together but ready drink now,27,Portugal,11,France,0.9999509,4.82869e-05,False
while buoyantly fruity with note ripe peach apricot and melon this dry delicately frame riesling also have intensely mineral character the palate shower crushed stone and lime acidity pierce through long linger finish,35,US,13,Germany,0.9999503,4.6638794e-05,False
this stage this wine dominate wood the black fruit underneath will take their time bring together wine that will show great perfume flavor mushroom and truffle and dense texture the aftertaste already have some the right juicy acidity drink from 2017,27,Portugal,11,France,0.99994993,2.6954742e-05,False
the pure delicate but ever authentic scent fragrant muscat grape rise from the glass the palate joy feather light fragrant but intense experience pure muscat flavor there the textural tinge lemon freshness and the uncompromise notion stone dry sprightly and utterly disarm palate immense purity what leave with notion fragrance and stone,11,France,2,Austria,0.99994934,5.046907e-05,False
spicy plum and candied oak aromas control the nose the palate deliver blend raw acidity with buttery oak top while flavor herbal plum and pepper scratchy and finish herbal spicy and low fruit,0,Argentina,6,Chile,0.9999492,7.4552418e-06,False
heavily herbal spicy leafy aroma green like cool climate cab franc and then massive bolt oaky char take over this cabernet sauvignon hard dry and tough the palate herbal roasted black fruit flavor smother burn oak while this blacken but green taste the finish ripeness fruit clearly issue this cool vintage,32,Spain,6,Chile,0.999949,9.874078e-07,False
